authors,title,System,year,publisher,type,abstract
"E Ryan, JA Todd, M McGlue, I Kimirei…","VARIATION IN TAPHONOMIC CHARACTER OF SHELL BEDS IN LAKE TANGANYIKA, AFRICA: PALEOENVIRONMENTAL AND STRATIGRAPHIC …",Freshwater,2017,GSA,CITATION,NA
"I Kimirei, M SC",Introduction to Limnology,Freshwater,NA,NA,CITATION,NA
"MD McGee, SR Borstein, JI Meier, DA Marques…",The ecological and genomic basis of explosive adaptive radiation,,2020,nature.com,NA,"Speciation rates vary considerably among lineages, and our understanding of what drives the rapid succession of speciation events within young adaptive radiations remains …"
"C Xiong, Z Guo, SS Chen, Q Gao, MA Kishe…","Understanding the pathway of phosphorus metabolism in urban household consumption system: A case study of Dar es Salaam, Tanzania",Marine,2020,Elsevier,NA,"Phosphorus discharge in urban household consumption system has an important impact on the urban ecological environment, especially the surface water environment. In this study, a …"
"RC Blackman, A Bruder, FJ Burdon, P Convey…",A meeting framework for inclusive and sustainable science,,2020,nature.com,HTML,"Conferences are, next to publications in scientific journals, the most commonly used format to present and disseminate recent advances in scientific research. Conferences are also …"
"V Natugonza, L Musinguzi, MA Kishe…","The consequences of anthropogenic stressors on cichlid fish communities: revisiting Lakes Victoria, Kyoga, and Nabugabo",Freshwater,2021,Springer,NA,"Abstract Lakes Victoria, Kyoga, and Nabugabo (“the Lake Victoria region”) are remarkable for hosting one of the largest assemblages of cichlid fishes among the African inland lakes …"
"JC Rijssel, R Jong, MA Kishe, F Witte","Rapid evolutionary responses in cichlids: genetics of adaptation, morphology and taxonomic Implications",Freshwater,2021,Springer,NA,The haplochromine cichlids of Lake Victoria exhibit the fastest adaptive radiation of vertebrates known. Species identification of these lacustrine cichlids has been subject of …
"J Wanink, F Witte, M Kishe-Machumu",Dietary shift in benthivorous cichlids after the ecological changes in Lake Victoria,Freshwater,2008,brill.com,NA,"Abstract Cichlid fishes of Lake Victoria are well known for their trophic specializations. In our study area, the sub-littoral waters of the Mwanza Gulf (Tanzania), at least 12 trophic groups …"
"F Witte, O Seehausen, JH Wanink…","Cichlid species diversity in naturally and anthropogenically turbid habitats of Lake Victoria, East Africa",Freshwater,2013,Springer,PDF,"During the past decades, major anthropogenic environmental changes occurred in Lake Victoria, including increased predation pressure due to Nile perch introduction, and …"
"JC van Rijssel, ES Hoogwater, MA Kishe‐Machumu…",Fast adaptive responses in the oral jaw of Lake Victoria cichlids,Freshwater,2015,Wiley Online Library,NA,Rapid morphological changes in response to fluctuating natural environments are a common phenomenon in species that undergo adaptive radiation. The dramatic ecological …
"MA Kishe-Machumu, JC van Rijssel, A Poste…",Stable isotope evidence from formalin–ethanol-preserved specimens indicates dietary shifts and increasing diet overlap in Lake Victoria cichlids,Freshwater,2017,Springer,PDF,Stable isotopes are increasingly being used to infer past and present trophic interactions in light of environmental changes. The Lake Victoria haplochromine cichlids have experienced …
"JC van Rijssel, RE Hecky, MA Kishe-Machumu, F Witte",Changing ecology of Lake Victoria cichlids and their environment: evidence from C13 and N15 analyses,Freshwater,2017,Springer,PDF,Eutrophication is an increasing global threat to freshwater ecosystems. East Africa's Lake Victoria has suffered from severe eutrophication in the past decades which is partly …
"MA Kishe-Machumu, JC van Rijssel, JH Wanink…",Differential recovery and spatial distribution pattern of haplochromine cichlids in the Mwanza Gulf of Lake Victoria,Freshwater,2015,Elsevier,NA,"Lake Victoria had a fish fauna dominated by 500+ species of haplochromines. In the 1980s, the haplochromines from sub-littoral areas of the Mwanza Gulf vanished almost completely …"
"JC van Rijssel, RE Hecky, MA Kishe-Machumu…",Climatic variability in combination with eutrophication drives adaptive responses in the gills of Lake Victoria cichlids,Freshwater,2016,Springer,NA,"Textbook examples of adaptive radiation often show rapid morphological changes in response to environmental perturbations. East Africa's Lake Victoria, famous for its stunning …"
MA Kishe-Machumu,"Inter-guild differences and possible causes to the recovery of cichlid species in Lake Victoria, Tanzania.",Freshwater,2012,scholarlypublications …,BOOK,"Until the 1970s, the fish fauna of Lake Victoria was dominated by 500+ endemic haplochromine cichlid species in which detritivores was the dominant group followed by …"
"M Kalacska, JP Arroyo-Mora, O Lucanus…","Land cover, land use, and climate change impacts on endemic cichlid habitats in northern Tanzania",Freshwater,2017,mdpi.com,NA,"Freshwater ecosystems are among the most threatened on Earth, facing environmental and anthropogenic pressures often surpassing their terrestrial counterparts. Land use and land …"
"MA Kishe-Machumu, T Voogd, JH Wanink…","Can differential resurgence of haplochromine trophic groups in Lake Victoria be explained by selective Nile perch, Lates niloticus (L.) predation?",Freshwater,2015,Springer,NA,"Abstract The introduced Nile perch, Lates niloticus Linnaeus 1758 in Lake Victoria is considered to be a major contributor to the decline of haplochromine species. In the 1990s …"
"F Witte, MA Kishe-Machumu, OC Mkumbo…",The fish fauna of Lake Victoria during a century of human induced perturbations,Freshwater,2013,eawag.ch,PDF,"ABSTRACT WITTE, F., KISHE-MACHUMU, MA, MKUMBO, OC, WANINK, JH, GOUDSWAARD, PC, VAN RIJSSEL, JC & VAN OIJEN, MJP The fish fauna of Lake Victoria …"
MA Kishe,"Aspects of heavy metal pollution in Mwanza Gulf of Lake Victoria, Tanzania",Freshwater,2001,University of Dar es Salaam,CITATION,NA
"HA Lamtane, EE Ulotu, B Sekadende…","The role of fish-poultry integration on fish growth performance, yields and economic benefits among smallholder farmers.",Freshwater,2019,196.44.162.10,NA,"Aquaculture practices from sub-Saharan Africa are characterised by low production, owing to improper technology. Production can be increased through integrating fish farming with …"
"AP Shoko, SM Limbu, HA Lamtane…","The role of fish-poultry integration on fish growth performance, yields and economic benefits among smallholder farmers.",Freshwater,NA,NA,NA,"Aquaculture practices from sub-Saharan Africa are characterised by low production, owing to improper technology. Production can be increased through integrating fish farming with …"
MA Kishe-Machumu,Inter-guild differences and possible causes of the recovery of cichlid species in,Freshwater,2012,scholarlypublications …,PDF,Lake Victoria's fauna comprised a large endemic flock of more than 500 haplochromine cichlid species that made up more than 80% of the demersal ichthyomass. After the Nile …
"MA Kishe-Machumu, T Voogd…",Can differential resurgence of haplochromine trophic groups be explained by selective Nile perch predation?,Freshwater,2012,scholarlypublications …,PDF,The introduced Nile perch in Lake Victoria is considered to have been a major contributor to the decline in species and trophic diversity of haplochromines in Lake Victoria. In the second …
"JC van Rijssel, RE Hecky, MA Kishe-Machumu…",Climatic variability drives adaptive responses in the gills of Lake Victoria cichlids,Freshwater,NA,core.ac.uk,PDF,"Climate changes and global warming have severe consequences for aquatic ecosystems. In East Africa's Great Lakes, environmental perturbations are occurring as a result of global …"
MA Kishe-Machumu,"Inter-guild differences and possible causes of the recovery of cichlid species in Lake Victoria, Tanzania Date: 2012-09-26",Freshwater,2012,scholarlypublications …,PDF,Katunzi EFB & Kishe MA (2004) Changes in population structures of the major fish species in selected satellite lakes around Lake Victoria following changes in fishing effort. Tanzania …
"JC van Rijssel, ES Hoogwater…",Fast adaptive responses under natural conditions in the premaxilla of Lake Victoria cichlids,Freshwater,NA,scholarlypublications …,PDF,Rapid morphological changes in response to fluctuating natural environments are a common phenomenon in species that show adaptive radiation. Most of these changes are …
"MA MacNeil, DD Chapman, M Heupel…",Global status and conservation potential of reef sharks,Marine,2020,nature.com,NA,"Decades of overexploitation have devastated shark populations, leaving considerable doubt as to their ecological status 1, 2. Yet much of what is known about sharks has been inferred …"
"B Sekadende, L Scott, J Anderson, S Aswani…","The small pelagic fishery of the Pemba Channel, Tanzania: What we know and what we need to know for management under climate change",Marine,2020,Elsevier,HTML,"Small pelagic fish, including anchovies, sardines and sardinellas, mackerels, capelin, hilsa, sprats and herrings, are distributed widely, from the tropics to the far north Atlantic Ocean …"
"PSE Zu Ermgassen, N Mukherjee…",Fishers who rely on mangroves: Modelling and mapping the global intensity of mangrove-associated fisheries,Marine,2021,Elsevier,HTML,"Mangroves are critical nursery habitats for fish and invertebrates, providing livelihoods for many coastal communities. Despite their importance, there is currently no estimate of the …"
"CA Rohner, JEM Cochran…",No place like home? High residency and predictable seasonal movement of whale sharks off Tanzania,Marine,2020,internal-journal.frontiersin.org,HTML,"Highly mobile marine megafauna species, while widely distributed and frequently threatened, often aggregate in distinct localized habitats. Implementation of local …"
"B Kuguru, G Winters, S Beer, SR Santos, NE Chadwick",Adaptation strategies of the corallimorpharian Rhodactis rhodostoma to irradiance and temperature,Marine,2007,Springer,NA,"Corallimorpharians may dominate some habitats on coral reefs and compete with stony corals for access to light, yet little is known concerning their photosynthetic traits. At Eilat in …"
"CA Muhando, BL Kuguru, GM Wagner, NE Mbije…",Environmental effects on the distribution of corallimorpharians in Tanzania,Marine,2002,BioOne,NA,"This study examined the distribution and abundance of corallimorpharians (Cnidaria, Anthozoa) in Tanzania in relation to different aspects of the coral reef environment. Five …"
"B Kuguru, Y Achituv, DF Gruber, D Tchernov",Photoacclimation mechanisms of corallimorpharians on coral reefs: photosynthetic parameters of zooxanthellae and host cellular responses to variation in irradiance,Marine,2010,Elsevier,NA,"Rhodactis rhodostoma and Discosoma unguja are the most common corallimorpharians on coral reefs in the northern Red Sea, where individuals of R. rhodostoma form large …"
"B Kuguru, J Groeneveld, S Singh…","First record of giant freshwater prawn Macrobrachium rosenbergii (de Man, 1879) from small-scale fisheries in East Africa, confirmed with DNA barcoding.",Marine,2019,researchgate.net,PDF,"We report, for the first time in the wild, giant freshwater prawn Macrobrachium rosenbergii populations in East Africa. Specimens caught by fishermen in the lower reaches of the Ruvu …"
"B Kuguru, NE Chadwick, Y Achituv…",Mechanisms of habitat segregation between corallimorpharians: photosynthetic parameters and Symbiodinium types,Marine,2008,int-res.com,NA,"Corallimorpharians are evolutionarily important relatives to reef-building corals, yet little is known about their ecophysiology. We demonstrate that physiological mechanisms …"
"MA MacNeil, DD Chapman, M Heupel…",Author Correction: Global status and conservation potential of reef sharks,Marine,2020,nature.com,HTML,"Thank you for visiting nature.com. You are using a browser version with limited support for CSS. To obtain the best experience, we recommend you use a more up to date browser (or turn …"
"AJE Healey, G Gouws, ST Fennessy…",Genetic analysis reveals harvested Lethrinus nebulosus in the Southwest Indian Ocean comprise two cryptic species,Marine,2018,academic.oup.com,NA,This study initially aimed to investigate the genetic population/stock structuring of Lethrinus nebulosus in the Southwest Indian Ocean (SWIO) to inform management practices in light of …
"M Tumbo, MM Mangora, NM Pauline…","Review of Literature for a Climate Vulnerability Assessment in the RUMAKI Seascape, Tanzania",Marine,2015,academia.edu,PDF,This report has been prepared as an output assignment commissioned by WWF Tanzania Country Office and has not been peer reviewed. Any opinions stated herein are those of the …
"CA MUHANDO, BL KUGURU",The Status of Corallimorpharia on Coral Reefs of Tanzania,Marine,1999,academia.edu,PDF,The distribution and abundance of corallimorpharians after the 1998 coral bleaching event in Tanzania was assessed in November 1999 and November 2001 on five reefs in Zanzibar …
"MC Öhman, BL Kuguru, CA Muhando, GM Wagner…",Environmental effects on the distribution of corallimorpharians in Tanzania,Marine,2002,aquadocs.org,NA,"This study examined the distribution and abundance of corallimorpharians (Cnidaria, Anthozoa) in Tanzania in relation to different aspects of the coral reef environment. Five …"
"B Everett, J Groeneveld, S Fennessy, N Dias, O Filipe…",Along the coast and across the channel–trends in diversity of crustaceans and fishes caught by deep-water trawl surveys in the SW Indian Ocean,Marine,NA,NA,PDF,"Page 1. Along the coast and across the channel – trends in diversity of crustaceans and fishes caught by deep-water trawl surveys in the SW Indian Ocean Bernadine Everett1, Johan …"
"MA MacNeil, DD Chapman, M Heupel, M Heithaus…","Author Correction: Global status and conservation potential of reef sharks (Nature,(2020), 583, 7818,(801-806), 10.1038/s41586-020-2519-y)",Marine,2020,Springer US,CITATION,NA
"MA MacNeil, DD Chapman, M Heupel…","mamacneil/FinPrint: Code and data to reproduce analyses in MacNeil et al. 2020"" Global status and conservation potential of reef sharks""""",Marine,2020,repository.kaust.edu.sa,CITATION,"Code and data to reproduce analyses in MacNeil et al. 2020"" Global status and conservation potential of reef sharks"""""
BL Kuguru,Ecophysiological Adaptations of Corallimorpharians to Irradiance and Temperature,Marine,2008,Bar Ilan University,CITATION,NA
BL KUGURU,AND THE INTER UNIVERSITY INSTITUTE OF MARINE SCIENCE IN EILAT,,2008,"FACULTY OF LIFE SCIENCES, BAR …",CITATION,NA
"BI Kuguru, C Muhando",The status of Corallimorpharia on coral reefs of Tanzania,Marine,2002,CORDIO,CITATION,NA
"S Fennessy, B Kuguru, G Gouws","A genetic assessment of the spangled emperor, Lethrinus nebulosus, in the south west Indian Ocean reveals two distinct stocks",Marine,2014,South African Institute for Aquatic …,CITATION,NA
"B Kuguru, SB Mahongo, I Sailale…",Application of Remote Sensing in Predicting Suitable Fishing Areas for Pelagic Fish in the Continental Shelf of Tanzania,Marine,2019,ams.confex.com,CITATION,NA
"MA MacNeil, DD Chapman, M Heupel…","Global status and conservation potential of reef sharks (583, pg 801, 2020)",Marine,2020,"… , 4 CRINAN ST, LONDON N1 9XW …",CITATION,NA
"B Kuguru, G Gouws, S Fenessey","A genetic assessment of the spangled emperor, Lethrinus nebulosus, in the south west Indian Ocean reveals two distinct stocks",Marine,2013,South African Institute for Aquatic …,CITATION,NA
"F Nunan, J Luomba, C Lwenya, E Yongo…",Finding space for participation: fisherfolk mobility and co-management of Lake Victoria fisheries,Freshwater,2012,Springer,NA,"The literature on fisheries co-management is almost silent on the issue of the movement of fisherfolk within fisheries, although such movement must have implications for the …"
"J Luomba, R Chuenpagdee, AM Song","A bottom-up understanding of illegal, unreported, and unregulated fishing in Lake Victoria",Freshwater,2016,mdpi.com,NA,"Illegal, unreported, and unregulated (IUU) fishing is a major concern in fisheries management around the world. Several measures have been taken to address the problem …"
"K Odongkara, RO Abila, J Luomba",The contribution of Lake Victoria fisheries to national economies,Freshwater,2009,academia.edu,PDF,The paper discusses the contribution of the Lake Victoria fisheries resources to the riparian states as well as the communities. The paper has used data from studies conducted …
"C Lwenya, B Mbilingi, J Luomba, E Yongo",Gender integration in the management of the Lake Victoria fisheries,Freshwater,2009,Citeseer,PDF,The riparian governments of Lake Victoria have adopted co-management approach in fisheries management. This paper discusses gender mainstreaming in fisheries …
JO Luomba,"Role and place of women in aquaculture a case study of ukerewe district, Tanzania",Freshwater,2013,hortherbpublisher.com,NA,The aquaculture sector is often considered a male domain because of the high levels of investments and nature of work. Women's role and participation has often been ignored …
"JO Luomba, PO Onyango",Dagaa Fishery: The Unknown Wealth of Lake Victoria,Freshwater,2012,ir.library.oregonstate.edu,NA,The paper discusses contribution of dagaa Rastreneobola argentae fishery to Tanzanian economy. It uses data from two studies conducted in Lake Victoria as well as literature …
"SA Klein, KL van den Broek, J Luomba…",How knowledge acquisition shapes system understanding in small-scale fisheries,Freshwater,2021,Elsevier,HTML,"Within socio-ecological systems, actors' interaction with the system may differ greatly, which is likely to result in differences in system understanding. The current work investigated this …"
"KL van den Broek, J Luomba…",A framework for co‐developing conservation research projects with stakeholders: A Lake Victoria case study,Freshwater,2020,Wiley Online Library,NA,Stakeholder engagement has increasingly gained popularity in conservation research since it promotes relevant research that has impact and can inform evidence‐based policy. Lake …
"J Luomba, P Onyango, R Chuenpagdee","Closing loopholes with the small-scale fisheries guidelines: addressing illegal, unreported and unregulated fishing in Lake Victoria, Tanzania",Freshwater,2017,Springer,NA,"Illegal, unreported, and unregulated (IUU) fishing poses a serious challenge to fisheries governance as it does not go away easily despite various efforts to combat it. The …"
"F Diekert, T Eymess, J Luomba, I Waichman",The creation of social norms under weak institutions,,2020,econstor.eu,NA,Preventing overfishing at Lake Victoria is a typical situation where policies have to rely on norm-based interventions to improve outcomes. Our lab-in-the-field experiment studies how …
"P Kimani, H Owiti, J Luomba, P Onyango…",Responsible Fisheries Business Chain Project,,NA,NA,PDF,"Executive summary GIZ is implementing the Global Program on Sustainable Fishery and Aquaculture in four countries namely Mauritania, Malawi, Madagascar and Uganda. The …"
"JO Luomba, PO Onyango",103-Luomba. pdf,Freshwater,2017,ir.library.oregonstate.edu,NA,The paper discusses contribution of dagaa Rastreneobola argentae fishery to Tanzanian economy. It uses data from two studies conducted in Lake Victoria as well as literature …
"M Salehe, J Luomba, E Mlaponi","Socio-economic Factors Affecting Consumer Behaviour and Preference for Farmed and Wild Fish around Lake Victoria, Tanzania",Freshwater,2017,academia.edu,PDF,"The continued fish decline in most capture fisheries including the Lake Victoria fisheries have led to increased promotion of fish farming. However, little is known about consumers' …"
JO Luomba,"Illegal, unreported and unregulated (IUU) fishing as a governability problem: a case study of Lake Victoria, Tanzania",Freshwater,2016,research.library.mun.ca,NA,"This thesis employs interactive governance theory and governability assessment framework to examine why illegal, unreported and unregulated (IUU) fishing is persistent in Lake …"
"J Luomba, R Chuenpagdee","Addressing Illegal, Unreported and Unregulated Fishing as a Governability Problem: A Case Study of Lake Victoria, Tanzania",Freshwater,2016,ir.library.oregonstate.edu,NA,"Abstract Illegal, Unreported and Unregulated (IUU) fishing is a pervasive practice in small scale fisheries. It affects the ecosystem and the livelihoods of people depended on the …"
"J Luomba, R Chuenpagdee, AM Song","A bottom-up understanding of illegal, unreported, and unregulated fishing in Lake Victoria. Sustainability 8: 1062",Freshwater,2016,NA,CITATION,NA
"SB Mahongo, J Francis, SE Osima",Wind patterns of coastal Tanzania: their variability and trends,Marine,2011,ajol.info,NA,"1Tanzania Fisheries Research Institute, PO Box 9750, Dar es Salaam, Tanzania; 2Department of Aquatic Sciences and Fisheries, University of Dar es Salaam, PO Box …"
"SB Mahongo, YW Shaghude",Modelling the dynamics of the Tanzanian coastal waters,Marine,2014,academicjournals.org,NA,A numerical modeling study was carried out using the Regional Ocean Modeling System (ROMS) for the Tanzanian coast to investigate the seasonal dynamics of water circulation …
"YW Shaghude, KO Wannas, SB Mahongo",Biogenic assemblage and hydrodynamic settings of the tidally dominated reef platform sediments of the Zanzibar Channel,Marine,2002,aquadocs.org,NA,The biogenic assemblage and hydrodynamic settings of the tidally dominated reef platform sediments (TDRPS) east of the Zanzibar channel were investigated in order to characterise …
"SB Mahongo, MC Deo",Using artificial neural networks to forecast monthly and seasonal sea surface temperature anomalies in the western Indian Ocean,Marine,2013,journals.sagepub.com,NA,A study implementing Nonlinear Autoregressive with Exogenous Input (NARX) neural network has been undertaken to predict monthly and seasonal SST anomalies in the …
"J Francis, SB Mahongo",Analysis of rainfall variations and trends in coastal Tanzania,Marine,2012,ajol.info,NA,Rainfall in coastal Tanzania has been investigated for their variability and trends from seven key weather stations during the last 50 years (1960-2009). Results indicate that the island of …
"SB Mahongo, J Francis",Monthly variations in sea level at the island of Zanzibar,Marine,2010,ajol.info,NA,Meteorological and tide gauge data were used to analyze correlations between climatic parameters and variations in mean sea level at Zanzibar for the period 1985-2004. This …
SB Mahongo,The changing global climate and its implication on sea level trends in Tanzania and the Western Indian Ocean Region,Marine,2009,ajol.info,NA,Global mean sea levels show a general rising trend that has been accelerated by the recent changes in world climate. This is ascertained through geological and historical records …
"SB Mahongo, OI Khamis",The Tanzania National Sea Level Report,Marine,2006,researchgate.net,PDF,"This report has been prepared for the IOC/GLOSS Training Workshop on Sea Level Measurement, Interpretation and Related Fields held in Tokyo (Japan) from 15-26 May 2006 …"
"I Halo, P Sagero, M Manyilizu, SB Mahongo",Biophysical modelling of coastal upwelling variability and circulation along the Tanzanian and Kenyan coasts,Marine,2020,ajol.info,NA,"Ocean circulation, upwelling phenomena and chlorophyll-a concentrations were investigated within the framework of numerical model simulations with 1/12 nested …"
"IA Kimirei, M Semba, C Mwakosya, YD Mgaya…",Environmental Changes in the Tanzanian Part of Lake Victoria,Freshwater,2017,Springer,NA,"Lake Victoria is known for its explosive speciation and recent time hybridization, which is highly mediated by deterioration of water quality. This chapter summarizes the knowledge …"
SB Mahongo,Analysis of met-ocean processes in relation to changes in large scale climatic systems in Tanzania and the western Indian Ocean,Marine,2014,University of Dar es Salaam,CITATION,NA
SB Mahongo,"Radiative heat exchange in a tropical Chwaka bay, east coast of Zanzibar",Marine,2000,nopr.niscair.res.in,NA,Radiative heat fluxes were measured from a platform during the period 18 January through 9 February 1996. Cloud cover ranged from clear skies to overcast while the air temperature …
SB Mahongo,The Tanzania Sea Level Network: A National Report (Draft),Marine,2001,gloss-sealevel.org,PDF,THE TANZANIAN TIDE GAUGE NETWORK Page 1 THE TANZANIAN SEA LEVEL NETWORK: A NATIONAL REPORT (DRAFT) Shigalla B. Mahongo Tanzania Fisheries Research Institute …
SB Mahongo,Annual to Inter-Decadal Variability of Surface Air Temperature along the Coast of Tanzania,Marine,2014,ajol.info,NA,The patterns of atmospheric surface temperature along the coast of Tanzania were investigated for variability and decadal trends over the past 50 years (1960-2009). Various …
"YW Shaghude, SB Mahongo, A Muzuka…",Physical and geological processes in Chwaka Bay,Marine,2012,researchgate.net,PDF,"Estuaries, lagoons and bays are among the most prominent coastal geomorphological features of the coast of Tanzania. These features are extensively utilized by communities for …"
"SB Mahongo, YW Shaghude",Investigating the Effect of Winds and Storms on Shoreline Erosion along the Coast of Tanzania,Marine,2013,196.44.162.10,NA,"Wind data spanning 28 years (1977-2004) from four meteorological stations (Tanga, Zanzibar, Dar es Salaam and Mtwara) were analyzed to elucidate the effect of winds on …"
"YD Mgaya, SB Mahongo",Lake Victoria Fisheries Resources: Research and Management in Tanzania,Marine,2017,books.google.com,BOOK,"This book synthesises the historical trends of the lake fisheries, the lake ecology, biology and biodiversity, socio-economics, stock assessment, aquaculture, fish quality assurance …"
"J Kamau, O Ochola, B Ohowa, C Mitto, C Magori…",Employing multivariate analysis to determine the drivers of productivity on the North Kenya Bank and in Kenyan territorial waters,Freshwater,2020,ajol.info,NA,A complex mix of natural processes exist in nearshore and offshore waters which influence coastal and marine ecosystem productivity. An understanding of the biogeochemical …
"MS Kyewalyanga, N Peter, M Semba…",Coastal upwelling and seasonal variation in phytoplankton biomass in the Pemba Channel,Marine,2020,ajol.info,NA,This study was conducted in the Pemba Channel off Tanga Region in northern Tanzania to investigate physical and chemical factors that drive changes in phytoplankton biomass …
"M García-Reyes, SB Mahongo",Present and future trends in winds and SST off central East Africa,Marine,2020,ajol.info,NA,"The coast of central East Africa (CEA) is a dynamic region in terms of climate, in which fisheries and marine-related services impact a large portion of the population. The main …"
"R Mwaipopo, SB Mahongo",Adaptive capacity of small pelagic fishing communities in coastal Tanga (Tanzania) to changes in climate-related phenomena,Marine,2020,ajol.info,NA,"Studies examining the vulnerability, resilience and adaptation options of fisheries-dependent coastal communities have noted a decrease in viable options to respond …"
"J Ochiewo, F Munyi, E Waiyaki, F Kimanga…",Livelihood impacts and adaptation in fishing practices as a response to recent climatic changes in the upwelling region of the East African Coastal Current,Marine,2020,ajol.info,NA,A socio-economic assessment was carried out at Amu and Shela in Lamu County and Ngomeni in Kilifi County on the coast of Kenya. The aim was to establish fisher perspectives …
"C Mitto, SB Mahongo, M Osore, O Ochala, J Kamau…",Employing multivariate analysis to determine the drivers of productivity on the North Kenya Bank and in Kenyan territorial waters,Marine,2020,196.44.162.10,NA,A complex mix of natural processes exist in nearshore and offshore waters which influence coastal and marine ecosystem productivity. An understanding of the biogeochemical …
"M Manyilizu, P Sagero, I Halo, SB Mahongo",A comparative study of ocean surface interannual variability in Northern Tanzania and the Northern Kenya Bank,Marine,2020,ajol.info,NA,"The livelihoods of most residents of Tanga (Northern Tanzania) and Malindi (Northern Kenya), rely strongly on fishing activities in the East African shelf region. Thus …"
"J Kamau, N Ngisiange, O Ochola, J Kilionzi…",Factors influencing spatial patterns in primary productivity in Kenyan territorial waters,Marine,2020,ajol.info,NA,"This study was formulated to investigate productivity systems within Kenyan territorial waters. The interaction of processes on the margins of the marine waters, particularly the …"
"AT Kamukuru, SB Mahongo, BC Sekadende…","Age, growth and mortality of the anchovy Stolephorus commersonnii (Lacepède, 1803)(Clupeiformes) caught off the coast of Tanga, Tanzania",Marine,2020,ajol.info,NA,"The population dynamics of Stolephorus commersonnii (Lacepède, 1803) from a ringnet fishery operating off the northern coast of Tanga Region were evaluated based on monthly …"
"EJ Mosha, SB Mahongo, RB Hoza…",Financing Mechanisms for Lake Victoria Fisheries Management,Freshwater,2017,Springer,NA,"Management of fisheries in the Lake Victoria Basin is faced with a multitude of natural and anthropogenic pressures such as over-fishing, eutrophication, declining water levels, soil …"
"IK Nhnyete, SB Mahongo",National report of the United Republic of Tanzania on sea level measurements,Freshwater,2007,NA,CITATION,NA
"YD Mgaya, SB Mahongo",Lake Victoria Fisheries Resources,Marine,NA,NA,NA,"This book has benefitted from the implementation of Phase I of the Lake Victoria Environmental Management Project–LVEMP I (1997–2005), complemented by previous …"
"J Francis, SB Mahongo, AK Semesi, CA Muhando…",Eastern Africa Atlas of Coastal Resources: Tanzania,Freshwater,2001,repository.costech.or.tz,CITATION,Eastern Africa Atlas of Coastal Resources: Tanzania COSTECH Integrated Repository Eastern Africa Atlas of Coastal Resources: Tanzania Login COSTECH Repository Home → University …
"J Katondo, PK Chisara, SB Mahongo",The diversity of aquatic birds and their relationship to aquatic ecosystems in the Lake Victoria basin,Marine,2005,repository.eac.int,NA,"Lake Victoria basin harbours a variety of aquatic ecosystems mainly referred to as wetlands. These wetlands range from permanent swamps, open water bodies and river systems. The …"
"R Kayanda, SB Mahongo",Draft Bibliography of Lake Victoria & associated freshwater systems,Freshwater,2002,Lake Victoria Environmental …,CITATION,NA
SB Mahongo,Sea Level Measurement And Analysis In The Western Indian Ocean: National Report. Tanzania,Marine,1999,aquadocs.org,NA,During the fourth session of the Intergovernmental Oceanographic Commission's Regional Committee for the Co-operative Investigations in the North and Central Western Indian …
SB Mahongo,Turbulent heat energy exchange in a Tropical Bay.,Marine,1999,Tanzania Journal of Science,CITATION,NA
SB Mahongo,"Sea level measurement and analysis in the Western Indian Ocean. National Report, Tanzania Fisheries Research Institute, Tanzania",Marine,1999,NA,CITATION,NA
SB Mahongo,"Sea surface heat exchange and bottom reflection in a tidal, shallow tropical lagoon: Chwaka Bay, Zanzibar",Marine,1997,Univ.,CITATION,NA
SB Mahongo,"The coastal profile of Mafia Island, Tanzania",Marine,1994,NA,CITATION,NA
"YW Shaghude, KO Wannäs, SB Mahongo",Hydrodynamic setting of the tidal dominated platforms and reef environment sediments of the Zanzibar channel,Marine,2001,NA,CITATION,NA
SB Mahongo,Bottom reflection in a shallow tidal bay,Marine,1998,NA,CITATION,NA
"J Francis, SB Mahongo, A Semesi, CA Muhando…",Coastal resources and their use. In: Eastern Africa Atlas of Coastal Resources,Marine,NA,NA,CITATION,Coastal resources and their use. In: Eastern Africa Atlas of Coastal Resources COSTECH Integrated Repository Coastal resources and their use. In: Eastern Africa Atlas of Coastal …
"A Semesi, CA Muhando, SB Mahongo, J Daffa…",Coastal resources and their use. In: Eastern Africa Atlas of Coastal Resources,Marine,2001,196.44.162.10,CITATION,Coastal resources and their use. In: Eastern Africa Atlas of Coastal Resources University of Dar es Salaam Research Repository Coastal resources and their use. In: Eastern Africa Atlas of …
"SB Mahongo, CA Muhando, J Daffa, M Ngoile…",Eastern Africa Atlas of Coastal Resources: Tanzania,Marine,2001,196.44.162.10,CITATION,Eastern Africa Atlas of Coastal Resources: Tanzania University of Dar es Salaam Research Repository Eastern Africa Atlas of Coastal Resources: Tanzania Login Home → College of …
CA MASHAFI,Automatic information extraction for assessment of damaged areas after earth quake based on FORMOSAT imagery:: A case study in Sewon District,,2008,etd.repository.ugm.ac.id,NA,"In order for quick response and early recovery assessment in any disaster including Earthquake, it is important to rapidly comprehend the extent and severity of the building …"
C Mataba,"Sustainability and suitability of marine small pelagic fish processing techniques in Unguja Island, Tanzania",Marine,2015,University of Dar es Salaam,CITATION,NA
"MO Silas, SS Mgeleka, P Polte, M Sköld…",Adaptive capacity and coping strategies of small-scale coastal fisheries to declining fish catches: Insights from Tanzanian communities,Marine,2020,Elsevier,NA,"Small-scale fishing communities are expected to adapt to fish catch fluctuations linked to global environmental change. Notwithstanding, impacts from severe climate events and …"
